,Year,Month,temp,temp_min,temp_max,pressure,humidity,wind_speed,Precip
0,2015,Ene,2.0600000000000023,2.0600000000000023,2.0600000000000023,968.69,75.81,2.18,
1,2015,Feb,6.810000000000002,6.529999999999973,7.180000000000007,955.85,75.64,3.64,
2,2015,Mar,9.930000000000007,9.379999999999995,10.629999999999995,1009.12,69.54,2.51,
3,2015,Abr,13.100000000000023,13.100000000000023,13.100000000000023,1002.34,63.4,2.87,
4,2015,May,19.360000000000014,19.360000000000014,19.360000000000014,962.7,45.91,3.32,
5,2015,Jun,23.529999999999973,22.480000000000018,24.74000000000001,985.95,42.25,2.32,
6,2015,Jul,30.069999999999993,28.139999999999986,32.47000000000003,1016.69,28.42,2.56,
7,2015,Ago,25.70999999999998,23.389999999999986,28.00999999999999,1016.25,36.33,2.82,
8,2015,Sep,17.329999999999984,8.180000000000007,21.120000000000005,1016.74,45.56,2.5,
9,2015,Oct,15.379999999999995,14.850000000000023,15.95999999999998,1016.23,67.57,2.12,
10,2015,Nov,11.139999999999986,10.930000000000007,11.360000000000014,1024.23,73.98,1.78,
11,2015,Dic,7.149999999999977,6.810000000000002,7.600000000000023,1029.77,77.56,1.12,
12,2016,Ene,7.939999999999998,7.470000000000027,8.470000000000027,1021.39,82.85,3.03,
13,2016,Feb,7.339999999999975,6.259999999999991,8.319999999999993,1020.04,73.23,3.88,
14,2016,Mar,8.550000000000011,7.579999999999984,9.25,1015.55,61.97,3.18,
15,2016,Abr,11.769999999999982,10.939999999999998,12.850000000000023,1013.32,66.61,2.98,
16,2016,May,15.730000000000018,14.439999999999998,17.850000000000023,1014.89,60.82,2.55,
17,2016,Jun,23.00999999999999,20.910000000000025,24.689999999999998,1016.44,39.28,2.67,
18,2016,Jul,27.149999999999977,25.839999999999975,28.680000000000007,1003.76,39.47,2.23,
19,2016,Ago,27.329999999999984,25.720000000000027,29.430000000000007,1016.8,29.57,2.57,
20,2016,Sep,22.889999999999986,21.99000000000001,24.670000000000016,1017.17,39.02,1.96,
21,2016,Oct,14.889999999999986,14.800000000000011,15.470000000000027,971.65,69.42,1.68,
22,2016,Nov,9.120000000000005,8.339999999999975,10.060000000000002,1009.33,78.45,1.81,
23,2016,Dic,7.5400000000000205,6.680000000000007,8.730000000000018,1025.34,82.22,1.56,
24,2017,Ene,4.149999999999977,2.9700000000000273,5.259999999999991,1020.91,70.9,2.09,
25,2017,Feb,7.910000000000025,7.019999999999982,8.470000000000027,1003.62,78.88,2.85,
26,2017,Mar,10.399999999999977,9.110000000000014,11.420000000000016,1018.38,64.6,3.01,
27,2017,Abr,14.860000000000014,13.589999999999975,16.05000000000001,1019.42,47.39,2.38,
28,2017,May,18.600000000000023,16.75999999999999,19.220000000000027,1015.89,49.74,2.57,
29,2017,Jun,26.069999999999993,24.629999999999995,27.269999999999982,1016.62,36.91,2.56,
30,2017,Jul,25.69999999999999,24.069999999999993,26.379999999999995,1016.66,37.97,2.86,
31,2017,Ago,27.05000000000001,26.04000000000002,28.350000000000023,1017.35,29.62,2.2,
32,2017,Sep,20.819999999999993,19.620000000000005,21.930000000000007,1018.33,42.71,1.97,
33,2017,Oct,18.420000000000016,17.20999999999998,19.779999999999973,1022.93,49.71,1.34,
34,2017,Nov,9.949999999999989,9.050000000000011,11.720000000000027,1021.28,61.89,1.48,
35,2017,Dic,5.389999999999986,3.9499999999999886,6.430000000000007,1023.51,72.06,2.3,
36,2018,Ene,6.339999999999975,5.3799999999999955,7.3799999999999955,1021.7,81.56,2.53,
37,2018,Feb,5.310000000000002,4.259999999999991,6.439999999999998,1017.22,66.23,2.34,
38,2018,Mar,7.839999999999975,6.430000000000007,8.430000000000007,1006.07,73.82,4.39,
39,2018,Abr,12.54000000000002,11.139999999999986,13.339999999999975,1012.43,66.35,3.38,
40,2018,May,15.649999999999977,14.370000000000005,16.660000000000025,1012.98,60.3,2.4,
41,2018,Jun,20.769999999999982,19.029999999999973,21.569999999999993,1015.53,57.25,2.21,
42,2018,Jul,25.399999999999977,23.860000000000014,26.560000000000002,1016.17,39.3,2.57,
43,2018,Ago,27.120000000000005,25.75999999999999,28.19999999999999,1017.26,34.31,2.15,
44,2018,Sep,24.20999999999998,23.019999999999982,25.379999999999995,1019.54,46.7,1.72,
45,2018,Oct,16.80000000000001,15.970000000000027,18.189999999999998,1018.72,60.11,1.87,
46,2018,Nov,9.95999999999998,8.819999999999993,10.829999999999984,1010.58,82.33,2.81,
47,2018,Dic,6.560000000000002,5.639999999999986,7.839999999999975,1024.86,84.67,1.58,
